qid,urls,comments,subject
30339,https://ask.openstack.org/en/question/30339/dnsmasq-unknown-interface/,5,dnsmasq unknown interface
28998,https://ask.openstack.org/en/question/28998/icehouse-install-guide-how-is-external-interface-accessible-if-default-gateway-is-on-management-interface/,5,icehouse install guide how is external interface accessible if default gateway is on management interface
31845,https://ask.openstack.org/en/question/31845/cinder-volume-remains-stuck-in-creating/,5,cinder volume remains stuck in creating
33492,https://ask.openstack.org/en/question/33492/cant-ping-the-tenant-router-gateway-from-my-external-network/,5,cant ping the tenant router gateway from my external network
29201,https://ask.openstack.org/en/question/29201/dhcp-request-hits-interface-but-not-dnsmasq/,5,dhcp request hits interface but not dnsmasq
30896,https://ask.openstack.org/en/question/30896/instance-internet-connection-problems/,5,instance internet connection problems
33069,https://ask.openstack.org/en/question/33069/failed-to-create-instance-nova-api-error-timed-out/,5,failed to create instance nova api error timed out
27471,https://ask.openstack.org/en/question/27471/how-to-enable-emulated-ich6-sound-board-on-a-kvm-instance-in-icehouse/,5,how to enable emulated ich6 sound board on a kvm instance in icehouse
29027,https://ask.openstack.org/en/question/29027/unable-to-attach-volume-to-an-instance/,5,unable to attach volume to an instance
29214,https://ask.openstack.org/en/question/29214/unable-to-create-the-network-no-tenant-network-is-available-for-allocation/,5,unable to create the network no tenant network is available for allocation
